yob,date,values
1931,2003,3.5555556
1931,2004,3.8
1931,2005,2.8333333
1931,2006,3.6153846
1931,2007,3.5
1931,2008,3
1931,2009,3.6
1931,2010,3
1931,2011,2.6666667
1931,2012,2.75
1931,2013,3.6666667
1931,2014,3.2
1931,2016,3
1932,2003,3.6666667
1932,2004,3.2307692
1932,2005,3
1932,2006,3.8571429
1932,2007,3
1932,2008,3
1932,2009,3.5
1932,2010,3.9
1932,2011,3.1428571
1932,2012,3.0714286
1932,2013,3.6
1932,2014,3.4
1932,2016,3
1933,2003,3.1666667
1933,2004,3.3
1933,2005,3.2727273
1933,2006,3.4444444
1933,2007,3.2
1933,2008,3.3571429
1933,2009,3.25
1933,2010,3.8571429
1933,2011,3.3333333
1933,2012,3.0769231
1933,2013,4
1933,2014,4.25
1933,2016,3.5
1934,2003,3.625
1934,2004,3.3529412
1934,2005,3.1818182
1934,2006,2.8181818
1934,2007,3.3076923
1934,2008,3.3571429
1934,2009,3.3333333
1934,2010,3.5
1934,2011,3.5
1934,2012,2.9
1934,2013,3.5
1934,2014,3.5384615
1934,2016,3.4285714
1935,2003,4
1935,2004,3.7142857
1935,2005,2.8
1935,2006,3.6363636
1935,2007,2.7777778
1935,2008,3.1538462
1935,2009,2.6363636
1935,2010,3.75
1935,2011,3.3333333
1935,2012,3
1935,2013,3.4
1935,2014,3.1
1935,2016,3.2857143
1936,2003,3.3333333
1936,2004,2.9285714
1936,2005,3.7272727
1936,2006,2.8666667
1936,2007,2.8
1936,2008,3.25
1936,2009,2.75
1936,2010,3.2727273
1936,2011,3.5
1936,2012,2.8888889
1936,2013,2.8333333
1936,2014,3.1666667
1936,2016,3.3333333
1937,2003,4.1
1937,2004,3.2307692
1937,2005,3.2
1937,2006,3.6
1937,2007,3.2142857
1937,2008,3.3076923
1937,2009,3.5
1937,2010,3.6428571
1937,2011,3.5
1937,2012,3.2083333
1937,2013,2.8
1937,2014,2.1666667
1937,2016,3.1428571
1938,2003,3.1
1938,2004,3.2222222
1938,2005,3.1111111
1938,2006,3.25
1938,2007,3.1428571
1938,2008,3.4285714
1938,2009,3
1938,2010,3.2
1938,2011,3.1111111
1938,2012,3.5416667
1938,2013,2.6666667
1938,2014,2.6666667
1938,2016,3.1333333
1939,2003,3.2142857
1939,2004,3.2666667
1939,2005,3.1764706
1939,2006,2.7647059
1939,2007,3
1939,2008,3.6
1939,2009,3
1939,2010,3.3888889
1939,2011,3.1818182
1939,2012,3.5555556
1939,2013,3.375
1939,2014,3.5
1939,2016,3.875
1940,2003,3.8181818
1940,2004,3.3333333
1940,2005,3.2631579
1940,2006,3.2941176
1940,2007,2.6666667
1940,2008,3.4545455
1940,2009,3.25
1940,2010,2.7
1940,2011,3.3846154
1940,2012,3.2941176
1940,2013,3.4545455
1940,2014,3.2307692
1940,2016,2.9
1941,2003,2.8
1941,2004,2.5294118
1941,2005,3.4285714
1941,2006,3.2
1941,2007,3.2222222
1941,2008,3.3333333
1941,2009,3.0555556
1941,2010,2.9411765
1941,2011,3.3333333
1941,2012,3.5555556
1941,2013,3.2857143
1941,2014,3.3333333
1941,2016,2.9333333
1942,2003,3.4285714
1942,2004,3
1942,2005,3
1942,2006,3.4545455
1942,2007,3.2666667
1942,2008,3.3333333
1942,2009,3.25
1942,2010,2.9375
1942,2011,3
1942,2012,3.3157895
1942,2013,2.6666667
1942,2014,3.3846154
1942,2016,3.5
1943,2003,3.3125
1943,2004,3.1
1943,2005,3.5882353
1943,2006,3.4545455
1943,2007,3.5
1943,2008,2.8823529
1943,2009,3.5555556
1943,2010,3.6470588
1943,2011,3.7058824
1943,2012,3.5714286
1943,2013,3
1943,2014,3
1943,2016,2.8333333
1944,2003,3.6666667
1944,2004,3.4285714
1944,2005,3.8666667
1944,2006,3.2666667
